"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"PINHD-2X10";"2X10";"INPUT_HEADER, JP2";"PIN HEADER";"";
"1";"1.24M";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R2";"Resistor Fixed - Generic";"";
"3";"100k";"R-TRIMM3296Y";"RTRIM3296Y";"R3, R4, R9";"Trimm resistor";"";
"3";"100pF";"C-EUC1210";"C1210";"C9, C14, C25";"CAPACITOR, European symbol";"";
"1";"105k";"R_CHIP-0805(2012-METRIC)";"RESC2012X65";"R1";"Resistor Fixed - Generic";"";
"1";"10nF";"C-EUC1210";"C1210";"C1";"CAPACITOR, European symbol";"";
"6";"10pF";"C-EUC1210";"C1210";"C11, C12, C16, C17, C33, C34";"CAPACITOR, European symbol";"";
"2";"10uF";"C-EUC1210";"C1210";"C4, C6";"CAPACITOR, European symbol";"";
"2";"1N4004G-T";"1N4004G-T";"DO-41";"CR2, CR3";"";"";
"8";"1uF";"C-EUC1210";"C1210";"C3, C5, C8, C10, C13, C15, C19, C40";"CAPACITOR, European symbol";"";
"2";"47uF";"C-EUC1210";"C1210";"C7, C55";"CAPACITOR, European symbol";"";
"3";"INA110KU";"INA110KU";"SO-G16G6.9";"U3, U4, U11";"";"";
"1";"TPS7A3301RGWR";"TPS7A3301RGWR";"RGW0020A";"U1";"";"";
"1";"Value";"TPS7A4700RGWR";"RGW0020A";"U2";"";"";
